NAME	REPO	TYPE	STATUS	CATEGORY
template	coreruleset/template-plugin	official	tested	plugin
auto-decoding	coreruleset/auto-decoding-plugin	official	untested	plugin
antivirus	coreruleset/antivirus-plugin	official	being-tested	plugin
body-decompress	coreruleset/body-decompress-plugin	official	being-tested	plugin
fake-bot	coreruleset/fake-bot-plugin	official	tested	plugin
google-oauth2	coreruleset/google-oauth2-plugin	official	tested	plugin
drupal-rule-exclusions	coreruleset/drupal-rule-exclusions-plugin	official	tested	application
wordpress-rule-exclusions	coreruleset/wordpress-rule-exclusions-plugin	official	tested	application
nextcloud-rule-exclusions	coreruleset/nextcloud-rule-exclusions-plugin	official	tested	application
dokuwiki-rule-exclusions	coreruleset/dokuwiki-rule-exclusions-plugin	official	tested	application
cpanel-rule-exclusions	coreruleset/cpanel-rule-exclusions-plugin	official	tested	application
xenforo-rule-exclusions	coreruleset/xenforo-rule-exclusions-plugin	official	tested	application
phpbb-rule-exclusions	coreruleset/phpbb-rule-exclusions-plugin	official	tested	application
phpmyadmin-rule-exclusions	coreruleset/phpmyadmin-rule-exclusions-plugin	official	tested	application
dos-protection-modsecurity	coreruleset/dos-protection-plugin-modsecurity	official	untested	plugin
machine-learning-integration-plugin	coreruleset/machine-learning-integration-plugin	official	draft	plugin
roundcube-rule-exclusions-plugin	EsadCetiner/roundcube-rule-exclusions-plugin	3rd-party	tested	application
sogo-rule-exclusions-plugin	EsadCetiner/sogo-rule-exclusions-plugin	3rd-party	tested	application
iredadmin-rule-exclusions-plugin	EsadCetiner/iredadmin-rule-exclusions-plugin	3rd-party	tested	application
wordpress-hardening-plugin	eilandert/wordpress-hardening-plugin	3rd-party	tested	plugin
database-logging-plugin	coreruleset/database-logging-plugin	official	untested	plugin
referer-hardening-plugin	coreruleset/referer-hardening-plugin	official	tested	plugin
false-positive-report-plugin	coreruleset/false-positive-report-plugin	official	tested	plugin
traffic-observation-plugin	coreruleset/traffic-observation-plugin	official	untested	plugin
netnea-crs-upgrading-plugin	netnea/netnea-crs-upgrading-plugin	3rd-party	untested	plugin
plausible-rule-exclusions-plugin	EsadCetiner/plausible-rule-exclusions-plugin	3rd-party	tested	application
vimbadmin-crs-plugin	eilandert/vimbadmin-crs-plugin	3rd-party	tested	plugin
incubator	coreruleset/incubator-plugin	official	being-tested	plugin
